"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FHIR","Mapping: RIM Mapping"
"Immunization","Immunization","","","",1,1,"","","","","Immunization","Immunization","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","","n/a"
"Immunization.id","Immunization.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Immunization.extension","Immunization.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Immunization.recorded","Immunization.recorded","","","",0,1,"","","","dateTime {[]} {[]}
","Recorded Date","When the immunization was first captured in the subject's record","","","","","","","","","",,,,,"",,,,"Immunization.recorded",0,1,"","","Immunization.recorded"
"Immunization.source","Immunization.source","","","",1,*,"","","","BackboneElement {[]} {[]}
","[R] Immunization Reporting Source","Source of information regarding the reported immunization event.
Confidence in the accuracy of the immunization record is dependant on the source:  e.g., subject / parent documented; provider documented.  This is important in reviewing the subject history and the risk / benefit decision whether it is necessary to re-vaccinate a subject.","","","","","","","","","",,,,,"",,,,"Immunization.source",0,*,"",""
"Immunization.status","Immunization.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Immunization Administration Status","Provides the status of the immunization event, i.e., was the vaccine dose administered?
Metadata needed for an interoperability message. Not required at user interface.","","","","","","","","","",,,,,"",,,,"Immunization.status",0,1,"","","Immunization.status"
"Immunization.reasonNotGiven","Immunization.reasonNotGiven","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason not done","Indicates the reason the immunization event was not performed.","","","","","","","","","",,,,,"",,,,"Immunization.reasonNotGiven",0,*,"","","Immunization.statusReason"
"Immunization.indication","Immunization.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Why immunization occurred","Indicates the reason the immunization event was performed.","","","","","","","","","",,,,,"",,,,"Immunization.indication",0,*,"","","Immunization.reasonCode"
"Immunization.targetDisease","Immunization.targetDisease","","","",1,*,"","","","CodeableConcept {[]} {[]}
","[R] Vaccine Preventable Disease","The disease that the vaccination provides protection against.
The values used with this data element should be clear and understandable by health care workers and immunized persons.  Examples -COVID-19, Shingles, Hepatitis B.
The disease can be derived or inferred from the Immunizing Agent and/or Medicinal Immunizing Product, therefore optional","","","","","","","","","",,,,,"",,,,"Immunization.targetDisease",0,*,"","","Immunization.protocolApplied.targetDisease"
"Immunization.immunizingAgent","Immunization.immunizingAgent","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Generic immunizing Agent (Vaccine type, prophylaxis)","Generic representation of the formulation administered to a subject that includes one or more specific antigen(s) aimed at developing an immune response in an individual to provide protection from a vaccine preventable disease(s). 
The values to support this data element include both active immunizing agents/ vaccines (e.g. Hepatitis A +B Vaccine), and passive immunizing agents, (e.g., Rabies Immunoglobulin).   The values may be high level (COVID 19 Vaccine) or more detailed (COVID-19 mRNA Vaccine)
This data element is required when the trade name is not known (such as a recording of an immunizing event that took place in the past) Because the Immunizing Agent can be derived from Medicinal Immunizing Product it is optional IF the Administrable Immunizing Agent is provided.","","","","","","","","","",,,,,"",,,,"Immunization.immunizingAgent",0,*,"","","Immunization.vaccineCode"
"Immunization.subject","Immunization.subject","","","",1,1,"Y","","","http://iso.org/fhir/ts-5384/StructureDefinition/Subject-uc1 {[]} {[]}
","[R] Subject","Person that have or should have been vaccinated","","","","","","","","","",,,,,"",,,,"Immunization.subject",0,1,"","","Immunization.patient"
"Immunization.product","Immunization.product","","","",1,*,"Y","","","http://iso.org/fhir/ts-5384/StructureDefinition/Product-uc2 {[]} {[]}
","[M] Medicinal Immunizing Product","A manufactured product that is a representation of a brand specific Immunizing Agent authorized for use in a jurisdiction.  
The values to support this data element include both active immunizing agents/ vaccines (e.g., Hepatitis A +B Vaccine, and passive immunizing agents, (e.g., Rabies Immunoglobulin). 
The values may include ONLY the trade name of the product or a complete description of the product that may include the immunizing agent+dose form+trade name (or other attributes to distinguish the product.","","","","","","","","","",,,,,"",,,,"Immunization.product",0,*,"","","Immunization.vaccineCode"
"Immunization.administration","Immunization.administration","","","",1,1,"","","","BackboneElement {[]} {[]}
","[M] Immunization Administration","Immunization Administration","","","","","","","","","",,,,,"",,,,"Immunization.administration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}","Immunization"
"Immunization.administration.id","Immunization.administration.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Immunization.administration.extension","Immunization.administration.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Immunization.administration.id","Immunization.administration.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Immunization.administration.extension","Immunization.administration.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
